"scenario_id","n_AB","n_covariates","population_overlap","effect_modifiers","method","bias","rmse","coverage","ess_mean","convergence_rate"
"S001",100,3,"high","none","Bucher",-0.0167732066903085,0.446367864966747,0.955,100,1
"S001",100,3,"high","none","EbArm",-0.0212966609104556,0.47352735831664,0.95,87.4232642958746,1
"S001",100,3,"high","none","EbEL",-0.0171408896040288,0.480033829248282,0.938,89.7246794634052,1
"S001",100,3,"high","none","EbTotal",-0.0175426008559737,0.473594827340091,0.941,91.4502730826258,1
"S001",100,3,"high","none","SigTotal",-0.0175426008560441,0.473594827348448,0.941,91.4502730834926,1
"S002",300,3,"high","none","Bucher",-0.0130565874971052,0.292816032053467,0.957,300,1
"S002",300,3,"high","none","EbArm",-0.0118386069566054,0.296533974458704,0.958,275.405958022695,1
"S002",300,3,"high","none","EbEL",-0.011502971441219,0.305181161350943,0.95,276.433279246114,1
"S002",300,3,"high","none","EbTotal",-0.0128649890853481,0.303193633233379,0.953,280.483863924936,1
"S002",300,3,"high","none","SigTotal",-0.0128649890853481,0.303193633233379,0.953,280.483863924936,1
"S003",500,3,"high","none","Bucher",-0.0129107326156211,0.259564425312171,0.952,500,1
"S003",500,3,"high","none","EbArm",-0.0188546221793685,0.257223018606886,0.956,462.380674871954,1
"S003",500,3,"high","none","EbEL",-0.0129078943240837,0.263881936267997,0.955,462.318509103337,1
"S003",500,3,"high","none","EbTotal",-0.0136175254074362,0.262876016541611,0.953,468.610247470413,1
"S003",500,3,"high","none","SigTotal",-0.0136175254058613,0.26287601654115,0.953,468.610247468434,1
"S004",100,3,"medium","none","Bucher",-0.0118286877618303,0.448619455659156,0.953,100,1
"S004",100,3,"medium","none","EbArm",-0.0261884241048809,0.540448913614947,0.955,65.4371830932396,1
"S004",100,3,"medium","none","EbEL",-0.00880677376267988,0.602725541447562,0.929,56.3917477037306,1
"S004",100,3,"medium","none","EbTotal",-0.0163123548913232,0.539945767895091,0.937,69.3566335717018,1
"S004",100,3,"medium","none","SigTotal",-0.0163123548578359,0.5399457679068,0.937,69.356633569892,1
"S005",300,3,"medium","none","Bucher",-0.0131085162371587,0.294773181214427,0.956,300,1
"S005",300,3,"medium","none","EbArm",-0.013936939062236,0.323215237785976,0.96,206.743239291091,1
"S005",300,3,"medium","none","EbEL",-0.0125151991767593,0.392858780258139,0.947,143.146374595227,1
