"population_overlap","method","Mean_Bias","Mean_RMSE","Mean_Coverage","Mean_ESS"
"high","EbEL",-0.0293851772505167,0.355551722701824,0.948166666666667,273.012738811214
"high","EbArm",-0.0304531027512322,0.339818764981034,0.959,270.262724448338
"high","SigTotal",-0.0305418904599936,0.352585076710852,0.9485,277.772669682633
"high","EbTotal",-0.0305418904603042,0.352585076709092,0.9485,277.772669683012
"high","Bucher",-0.0654465175342639,0.346383700927978,0.944722222222222,300
"low","EbTotal",-0.0283464290032904,0.568530156157033,0.9345,85.8715255830593
"low","SigTotal",-0.0283464290069004,0.568530156143737,0.9345,85.8715255839518
"low","EbEL",-0.0494193458743086,0.887343579987942,0.865555555555556,23.8858414896152
"low","EbArm",-0.0800775736974928,2.2955414711103,0.912555555555556,82.7669324864591
"low","Bucher",-0.204448482990595,0.416801723883681,0.876388888888889,300
"medium","EbArm",-0.0300784604658771,0.429504869202114,0.956888888888889,204.441990745902
"medium","EbEL",-0.0303272529956179,0.442022832082954,0.938777777777778,142.482671044754
"medium","SigTotal",-0.031613979188004,0.388033564617959,0.946222222222222,211.262597476651
"medium","EbTotal",-0.03161397919062,0.38803356461408,0.946222222222222,211.262597477015
"medium","Bucher",-0.119921061049496,0.364243993716819,0.926833333333333,300
