"scenario_id","method","n_AB","n_covariates","population_overlap","effect_modifiers","n_success","true_value","bias","empirical_se","model_se","rmse","coverage","ess_mean","ess_median","convergence_rate","mean_time"
"S001","Bucher",100,3,"high","none",1000,0.2,-0.0167732066903085,0.446275803180949,0.45117271978438,0.446367864966747,0.955,100,100,1,5.7023048400879e-05
"S001","EbArm",100,3,"high","none",1000,0.2,-0.0212966609104556,0.473284914103882,0.481074575812073,0.47352735831664,0.95,87.4232642958746,88.5631609336853,1,0.00826648783683777
"S001","EbEL",100,3,"high","none",1000,0.2,-0.0171408896040288,0.479967744918879,0.475048731800057,0.480033829248282,0.938,89.7246794634052,91.5235316303313,1,0.00376056575775146
"S001","EbTotal",100,3,"high","none",1000,0.2,-0.0175426008559737,0.473506627371426,0.471612786585106,0.473594827340091,0.941,91.4502730826258,92.4689625945176,1,0.00519217896461486
"S001","SigTotal",100,3,"high","none",1000,0.2,-0.0175426008560441,0.473506627379791,0.471612786584221,0.473594827348448,0.941,91.4502730834926,92.4689625945177,1,0.00669397783279417
"S002","Bucher",300,3,"high","none",1000,0.2,-0.0130565874971052,0.292671164553374,0.298343292657317,0.292816032053467,0.957,300,300,1,7.98540115356444e-05
"S002","EbArm",300,3,"high","none",1000,0.2,-0.0118386069566054,0.296445822232532,0.306995583353524,0.296533974458704,0.958,275.405958022695,276.380273841023,1,0.00978731656074523
"S002","EbEL",300,3,"high","none",1000,0.2,-0.011502971441219,0.305116894338454,0.306753458274596,0.305181161350943,0.95,276.433279246114,279.569568091267,1,0.00739033818244933
"S002","EbTotal",300,3,"high","none",1000,0.2,-0.0128649890853481,0.303072143248276,0.305171422135113,0.303193633233379,0.953,280.483863924936,281.771916234101,1,0.00658441734313966
"S002","SigTotal",300,3,"high","none",1000,0.2,-0.0128649890853481,0.303072143248276,0.305171422135113,0.303193633233379,0.953,280.483863924936,281.771916234101,1,0.00634638357162475
"S003","Bucher",500,3,"high","none",1000,0.2,-0.0129107326156211,0.259372855459307,0.258237204145595,0.259564425312171,0.952,500,500,1,7.9390287399292e-05
"S003","EbArm",500,3,"high","none",1000,0.2,-0.0188546221793685,0.256659421378398,0.263496603877638,0.257223018606886,0.956,462.380674871954,463.613524382554,1,0.00954774856567383
"S003","EbEL",500,3,"high","none",1000,0.2,-0.0129078943240837,0.263697931641144,0.26363801688217,0.263881936267997,0.955,462.318509103337,466.522254615468,1,0.00830019521713259
"S003","EbTotal",500,3,"high","none",1000,0.2,-0.0136175254074362,0.2626544315731,0.262602193766758,0.262876016541611,0.953,468.610247470413,470.361596434109,1,0.00722558546066284
"S003","SigTotal",500,3,"high","none",1000,0.2,-0.0136175254058613,0.26265443157272,0.262602193767012,0.26287601654115,0.953,468.610247468434,470.361596434109,1,0.00925704336166384
"S004","Bucher",100,3,"medium","none",1000,0.2,-0.0118286877618303,0.448687885908134,0.450793942242294,0.448619455659156,0.953,100,100,1,7.22875595092772e-05
"S004","EbArm",100,3,"medium","none",1000,0.2,-0.0261884241048809,0.540084146736446,0.542302550207282,0.540448913614947,0.955,65.4371830932396,65.8244412148623,1,0.00802500772476194
"S004","EbEL",100,3,"medium","none",1000,0.2,-0.00880677376267988,0.602962754349124,0.559714282104395,0.602725541447562,0.929,56.3917477037306,56.6493600236937,1,0.00662338995933534
"S004","EbTotal",100,3,"medium","none",1000,0.2,-0.0163123548913232,0.539969356771263,0.526205201369074,0.539945767895091,0.937,69.3566335717018,69.6288903480387,1,0.00594907879829404
"S004","SigTotal",100,3,"medium","none",1000,0.2,-0.0163123548578359,0.539969356783995,0.526205201376242,0.5399457679068,0.937,69.356633569892,69.6288903480387,1,0.00479248929023743
"S005","Bucher",300,3,"medium","none",1000,0.2,-0.0131085162371587,0.294628921470212,0.297681248224452,0.294773181214427,0.956,300,300,1,8.29408168792723e-05
"S005","EbArm",300,3,"medium","none",1000,0.2,-0.013936939062236,0.323076198282258,0.33634845317781,0.323215237785976,0.96,206.743239291091,207.667336334326,1,0.0080767312049866
"S005","EbEL",300,3,"medium","none",1000,0.2,-0.0125151991767593,0.392855860007486,0.378230615781349,0.392858780258139,0.947,143.146374595227,145.321405362583,1,0.00749741864204404
"S005","EbTotal",300,3,"medium","none",1000,0.2,-0.0153386437383033,0.32976698581092,0.3332096979897,0.329958774178865,0.957,211.69678025783,212.485186667038,1,0.00633391785621644
"S005","SigTotal",300,3,"medium","none",1000,0.2,-0.0153386437383033,0.32976698581092,0.3332096979897,0.329958774178865,0.957,211.69678025783,212.485186667038,1,0.00671963548660277
"S006","Bucher",500,3,"medium","none",1000,0.2,0.000379626698048918,0.256061577550752,0.257429613933802,0.255933796288633,0.945,500,500,1,0.000142322778701782
"S006","EbArm",500,3,"medium","none",1000,0.2,-0.00191670293921345,0.272748467283129,0.282863673777537,0.272618796910719,0.956,350.021138535078,351.10472159822,1,0.00928202247619629
"S006","EbEL",500,3,"medium","none",1000,0.2,0.00133912548311169,0.341669409661992,0.327627669382045,0.341501157787693,0.945,214.268302260819,208.297655015429,1,0.00928292822837831
"S006","EbTotal",500,3,"medium","none",1000,0.2,-0.00367312569111783,0.27984323934468,0.281313282486491,0.27972739983895,0.95,356.129307339047,356.610586634902,1,0.0075629572868347
"S006","SigTotal",500,3,"medium","none",1000,0.2,-0.0036731256927387,0.279843239336583,0.281313282486907,0.279727399830879,0.95,356.129307338829,356.610586634902,1,0.00698839402198791
"S007","Bucher",100,3,"low","none",1000,0.2,-0.00309859039003255,0.460828652687153,0.450990263216875,0.460608603211799,0.95,100,100,1,0.000139616012573242
"S007","EbArm",100,3,"low","none",1000,0.2,-0.158670349863003,3.32850419625662,0.793065827732261,3.33062119194589,0.877,26.4065500072327,26.2913483885183,0.969,0.0154908821582795
"S007","EbEL",100,3,"low","none",1000,0.2,-0.0348802696596968,1.15091676912296,0.844055723431389,1.1508698593892,0.841,13.871095384561,12.7930461717669,1,0.00672228765487671
"S007","EbTotal",100,3,"low","none",1000,0.2,-0.028379770226875,0.841718758190704,0.74033353113984,0.841776329425069,0.919,29.4700549557873,29.0679172233801,1,0.00431080770492554
"S007","SigTotal",100,3,"low","none",1000,0.2,-0.0283797702020825,0.841718758208402,0.740333531145555,0.841776329441912,0.919,29.4700549548351,29.0679172233802,1,0.00453725600242614
"S008","Bucher",300,3,"low","none",1000,0.2,-0.00076548395433898,0.302916868357291,0.297898055419189,0.302766339727416,0.948,300,300,1,8.42597484588623e-05
"S008","EbArm",300,3,"low","none",1000,0.2,-0.0128270058991027,0.46565869700875,0.468090691780614,0.465602530231659,0.943,85.3467131664268,84.8444343499142,1,0.00913142561912538
"S008","EbEL",300,3,"low","none",1000,0.2,-0.00252221276586556,0.840553504210341,0.660142158830517,0.840136908369154,0.864,22.2005427338215,20.424532762234,1,0.00743163776397706
"S008","EbTotal",300,3,"low","none",1000,0.2,-0.0118810203526025,0.475349033470915,0.458537131282753,0.475259829527733,0.934,87.0356271984843,86.9155631177719,1,0.00635173034667969
"S008","SigTotal",300,3,"low","none",1000,0.2,-0.0118810203526025,0.475349033470915,0.458537131282753,0.475259829527733,0.934,87.0356271984843,86.9155631177719,1,0.00632847046852111
"S009","Bucher",500,3,"low","none",1000,0.2,-0.0161709724817318,0.249408379640071,0.257757739395893,0.249807597254079,0.951,500,500,1,6.20982646942139e-05
